,level_0,index,AGENCY_ID,AGENCY_NAME,AGENCY_AKA_KEYWORDS,AGENCY_DESCR,AGENCY_HRS,AGENCY_TXT_HRS,AGENCY_WEB_URL,AGENCY_FB_URL,AGENCY_TW_URL,AGENCY_PHONE,AGENCY_PHONE_NOTE
1543,1543,1544,1648,Huntington County Commissioners,,Serves as the executive and administrative authority for Huntington County.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.huntington.in.us,,,260-358-4822,
1544,1544,1545,1649,Dubois County Commissioners,,Serves as the executive and administrative authority for Dubois County.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,812-481-7000,
1545,1545,1546,1651,Lebanon City Market,"Lebanon City Market, The Heart Of Lebanon","Market hosts a variety of food vendors in Boone County, offering locally grown foods, baked goods, and fresh produce.",,Varies,www.heartoflebanon.org/lebanon-city-market/,,,317-447-8036,
1546,1546,1547,1652,Center For Women And Families,,A nonprofit organization that offers services to survivors of intimate partner abuse or sexual violence.,"{""open"":{""Thursday"":[[[10,0],[17,0]]],""Wednesday"":[[[10,0],[17,0]]],""Tuesday"":[[[10,0],[17,0]]],""Monday"":[[[10,0],[17,0]]],""Friday"":[[[10,0],[17,0]]]},""closed"":[]}",Mon-Fri 10am-5pm,www.thecenteronline.org,,,812-944-6743,
1547,1547,1548,1653,Avon Farmers Market,,A farmers market located in Hendricks County.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,,,,317-272-0948,
1548,1548,1549,1654,Plainfield Chamber Farmers Market,,"Market hosts a variety of food vendors offering locally grown foods, baked goods, and fresh produce.","{""open"":{""Thursday"":[[[16,0],[19,0]]]},""closed"":[]}",June 6th-Sept 12th 2019; Thurs 4pm-7pm,www.plainfield-in.com/farmers-market.html,,,317-839-3800,
1549,1549,1550,1655,Five Star Life,5 Star,A nonprofit organization providing enrichment programs and curriculum.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.fivestarlife.org,,,574-266-4038,
1550,1550,1551,1656,Attica First United Methodist,,"A church with a charitable outreach, including a thrift store for Fountain and Warren County.",,Vary,,,,765-764-4244,
1551,1551,1552,1657,Hope Springs Safe House,"Hope Springs, Hopesprings, Hopesprings Safe House",A domestic violence shelter located in Fountain County.,"{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.hopespringssafehouse.com,https://www.facebook.com/Hopespringssafehouse/,,765-764-5212,Crisis Line
1552,1552,1553,1658,Decatur Lighthouse Assembly of God,,"A church with worship services and charitable outreach, including food vouchers.",,Vary,www.decaturlighthouse.org,,,260-728-4091,
1553,1553,1554,1659,National Alliance On Mental Illness - Grant/Blackford County,NAMI,A nonprofit organization that provides mental health education and support groups for people with mental illness and for their friends and families.,,Vary,www.namiindiana.org,,,765-669-3699,
1554,1554,1555,1661,Jennifer's Harbor,Jennifer Harbor,A faith-based organization that offers services to domestic violence and sexual assault victims.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.jennifersharbor.org,,,260-443-2103,
1555,1555,1556,1662,Cornerstone Youth Center,The Southeast Youth Council,"A youth center for students in grades 7-12 providing life skills, educational programs and a drop-in hours in Southeast Allen County, Indiana.",,Mon-Fri 9:30am-5pm,www.cornerstoneyc.org,,,260-623-3972,
1556,1556,1557,1663,Hamilton Hills Church,,A church with community outreach programs including a food pantry.,"{""open"":{""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Thurs 9am-5pm,www.hamiltonhills.org,,,317-577-0746,
1557,1557,1558,1664,Ribbon of Hope,,"Nonprofit agency that offers emotional, practical and spiritual support for adult cancer patients and their families.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.ribbonofhope.org,,,574-389-7379,
1558,1558,1559,1665,Reach Yorktown Ministry,,"A faith-based organization that provides charitable outreach, including a food pantry.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.reachyorktown.com,,,765-744-1456,
1559,1559,1560,1666,Sheridan First United Methodist Church,,"A church with worship services and charitable outreach, including a non-food pantry offering hygiene items, paper products, and cleaning supplies to the elderly.","{""open"":{""Wednesday"":[[[13,0],[15,0]]],""Tuesday"":[[[13,0],[15,0]]],""Monday"":[[[13,0],[15,0]]],""Friday"":[[[13,0],[15,0]]],""Thursday"":[[[13,0],[15,0]]]},""closed"":[]}",Mon-Fri 1pm-3pm,www.sheridanfirstunitedmethodist.org,,,317-379-3633,
1560,1560,1561,1667,Muscular Dystrophy Family Foundation,"Mdff, No Boundaries Family Foundation, No Boundaries Muscular Dystrophy Family Foundation","A nonprofit organization that provides financial assistance with medical equipment, housing and vehicle modifications needed by people with Muscular dystrophy.","{""open"":{""Friday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Fri 9am-4pm,www.mdff.org,www.facebook.com/MDFamilyFund,www.twitter.com/MDFamilyFund,317-615-9140,
1561,1561,1562,1669,Kokomo Pride,,Kokomo Pride- fosters events and services that seek to educate and honor the history of the LGBT communities.,,Vary,,,,765-319-8803,
1562,1562,1563,1671,Lebanon Community of Shalom,,"A faith-based agency providing charitable outreach, including a meal site open to the public.",,Mon-Fri 8:30am-2:30pm,www.lebanoncommunityshalom.com,,,765-891-9065,
1563,1563,1564,1672,Holy Trinity Lutheran Church,,"A church with worship services and charitable outreach, including a food pantry and transitional housing.",,Mon-Fri 9am-noon and 1pm-3pm,www.holytrinitylutheranchurch.com,,,765-282-0619,
1564,1564,1565,1673,Cross of Grace Lutheran Church,,A church offering worship services and community outreach including a food pantry.,"{""open"":{""Thursday"":[[[9,0],[13,0]]],""Wednesday"":[[[9,0],[13,0]]],""Tuesday"":[[[9,0],[13,0]]],""Monday"":[[[9,0],[13,0]]]},""closed"":[]}",Mon-Thurs 9am-1pm,www.crossofgrace.org,,,317-861-0977,
1565,1565,1566,1674,Grant County Veterans Assistance Program,,"Nonprofit organization offering assistance with food, furniture and household items to veterans in Grant County.",,Vary,,,,765-669-3844,
1566,1566,1567,1675,Benton Community Food and Service Co-op,,"A nonprofit, community-based food co-op serving Benton County.",,Thurs 9am-6pm,www.bentonco.org,www.facebook.com/Benton-Community-Food-Service-Co-op-458211447960062/,,765-385-0207,
1567,1567,1568,1676,Community Harvest Food Bank of Northern Indiana - Farm Wagon,,Service site seeking to alleviate hunger by distributing food products from the food bank.,"{""open"":{""Friday"":[[[7,30],[16,0]]],""Thursday"":[[[7,30],[16,0]]],""Wednesday"":[[[7,30],[16,0]]],""Tuesday"":[[[7,30],[16,0]]],""Monday"":[[[7,30],[16,0]]]},""closed"":[]}",Mon-Fri 7:30am-4pm,www.chfb.org,,,260-447-3696,
1568,1568,1569,1677,Sylvia's Child Advocacy Center,Boone County Child Advocacy Center,"A nonprofit agency with a mission to ""minimize the trauma to any child who is involved in allegations of sexual and/or serious physical abuse or neglect and the subsequent investigation of those allegations.""","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.sylviascac.org,,,765-484-8410,
1569,1569,1570,1679,Vineyard Community Church  -  Mount Comfort,"Vineyard Community Church - Mt. Comfort, Vineyard Community Church Mount Comfort, Vineyard Community Church Mt. Comfort","A church offering worship services and charitable outreach programs, including a food pantry.","{""open"":{""Tuesday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]]},""closed"":[]}",Tues-Fri 9am-5pm,,,,317-894-3280,
1570,1570,1571,1680,Star Care Services,,"A nonprofit organization that provides transitional, residential housing program for men who are recovering from addiction.","{""open"":{""Friday"":[[[8,0],[18,0]]],""Thursday"":[[[8,0],[18,0]]],""Wednesday"":[[[8,0],[18,0]]],""Tuesday"":[[[8,0],[18,0]]],""Monday"":[[[8,0],[18,0]]]},""closed"":[]}",Mon-Fri 8am-6pm,www.starcareservices3.com,,,260-702-0925,
1571,1571,1572,1682,West Central Conservancy District,WCCD,"A conservancy district established by the state of Indiana to provide collection, treatment, and disposal of sewage and other liquid wastes in the town of Avon in Hendricks County.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.wccdin.org,,,317-272-2980,
1572,1572,1573,1683,Allen County Building Department,,Oversees housing and commercial development and enforces zoning ordinances for Allen County.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,,,,260-449-7131,
1573,1573,1574,1684,Allen County Department of Planning Services,,"Agency oversees and enforces zoning ordinances and handles zoning requests, complaints, and appeals for Allen County.","{""open"":{""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.allencounty.us,,,260-449-7607,
1574,1574,1575,1686,Angel Connection Food Pantry,,"A nonprofit, faith-based agency providing a food pantry.",,,,www.facebook.com/ACfoodpantry,,317-219-9157,
1575,1575,1576,1687,Garrett Police Department,,"Provides law enforcement, crime investigation, crime prevention, emergency assistance, and other police duties for the city of Garrett in DeKalb County.","{""open"":{""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.garrettindiana.us,,,260-357-5151,x 3160
1576,1576,1577,1688,Road To Recovery - Inc,,Offers transitional housing for men recovering from an alcohol or drug addiction.,"{""open"":{""Monday"":[[[10,0],[22,0]]],""Tuesday"":[[[10,0],[22,0]]],""Wednesday"":[[[10,0],[22,0]]],""Thursday"":[[[10,0],[22,0]]],""Friday"":[[[10,0],[22,0]]]},""closed"":[]}",Mon-Fri 10am-10pm,,,,260-422-0223,
1577,1577,1578,1689,Language Services Network,Language Services Network (Lsn)  Red De Servicios Linguisticos,"""The Language Services Network is a network of nonprofit language service providers devoted to the enhancement of interpreting and translation services in the Fort Wayne area.""","{""open"":{""Thursday"":[[[8,30],[15,0]]],""Wednesday"":[[[8,30],[15,0]]],""Tuesday"":[[[8,30],[15,0]]],""Monday"":[[[8,30],[15,0]]]},""closed"":[]}",Mon-Thurs 8:30am-3pm,www.lsnfortwayne.org,,,260-426-6764,x 400
1578,1578,1579,1690,Fort Wayne International Airport,,Fort Wayne International Airport provides commercial flights to national destinations and connections to international destinations.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.fwairport.com,,,260-747-4146,
1579,1579,1580,1691,Center For Legal Justice,,A nonprofit agency offering legal services at a discounted rate to income eligible people.,,Mon 9am-5pm; Tues 9am-7pm; Wed 9am-5pm; Fri 9am-4pm ET,www.centerforlegaljustice.net,,,574-333-2037,
1580,1580,1581,1692,Greene County Health Incorporation,Greene County Health,A nonprofit primary care medical clinic serving Greene County residents.,"{""open"":{""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.gc-health.org,,,812-847-7005,
1581,1581,1582,1694,Purdue Extension - Fulton County,"Fulton County Cooperative Extension Office, Fulton County Extension Office","A local cooperative extension service, providing research-based information and programming for youth, families, and the community.","{""open"":{""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.extension.purdue.edu/fulton,,,574-223-3397,
1582,1582,1583,1695,Heart of the City Bicycles,Mission Church,"A church with worship services and charitable outreach, including bicycle programs.","{""open"":{""Friday"":[[[9,0],[12,0]]]},""closed"":[]}",Fri 9am-noon,www.missionchurchfw.org,,,260-490-3295,
1583,1583,1584,1696,Family Ark,,"""Family Ark provides quality human service programs which promote positive change in the lives of children and families in the communities we serve.""",,Mon-Thurs 8am-6pm; Fri 8am-4pm,www.thefamilyark.org,,,812-282-8479,
1584,1584,1585,1697,Fulton County Chamber of Commerce,,"""The Fulton County Chamber of Commerce serves to foster economic development and build community strength within Fulton County.""","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.fultoncountychamber.com,,,574-244-2666,
1585,1585,1586,1698,Butler City Police Department - Dekalb County,,"Provides law enforcement, crime investigation, crime prevention, emergency assistance, and other police duties.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,260-868-2171,
1586,1586,1587,1699,Jamestown Christian Church,The Giving Tree,"A churh providing worship services and charitable outreach, including a food pantry.","{""open"":{""Thursday"":[[[9,0],[15,0]]],""Wednesday"":[[[9,0],[15,0]]],""Tuesday"":[[[9,0],[15,0]]],""Monday"":[[[9,0],[15,0]]]},""closed"":[]}",Mon-Thurs 9am-3pm,www.jamestownchristianchurch.net,,,765-676-5182,
1587,1587,1588,1700,Saint John's Lutheran Church,"St John's Lutheran Church, St. John Lutheran Church",A church offering worship services and a charitable outreach that includes life skills education.,"{""open"":{""Friday"":[[[10,0],[14,0]]],""Thursday"":[[[10,0],[14,0]]],""Wednesday"":[[[10,0],[14,0]]],""Tuesday"":[[[10,0],[14,0]]],""Monday"":[[[10,0],[14,0]]]},""closed"":[]}",Mon-Fri 10am-2pm,www.stjohns-churchlcms.org,www.facebook.com/stjohnschurchlcms,,574-223-6898,
1588,1588,1589,1702,Clark County Health Department,,"A government agency that provides public health nursing, works to control the spread of communicable disease, investigates environmental hazards, and maintains vital records for the county.","{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.clarkhealth.net,,,812-288-2706,
1589,1589,1590,1703,Grant County Family YMCA,,"A nonprofit organization offering various social, recreational, and fitness programs.","{""open"":{""Saturday"":[[[6,0],[17,0]]],""Monday"":[[[5,0],[21,0]]],""Tuesday"":[[[5,0],[21,0]]],""Wednesday"":[[[5,0],[21,0]]],""Thursday"":[[[5,0],[21,0]]],""Friday"":[[[5,0],[21,0]]]},""closed"":[]}","Mon-Fri 5am-9pm, Sat 6am-5pm",www.gcymca.org,,,765-664-0544,
1590,1590,1591,1704,Boone County Mentoring Partnership,,A nonprofit agency matching adult mentors to Boone County youth (ages 8-17) who could benefit from a mentor.,"{""open"":{""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.boonecountymentoring.org,,,765-325-5106,
1591,1591,1592,1705,Casa of Fulton County,,"Court appointed special advocate/guardian ad litem program for children involved in court cases due to neglect or abuse or because their parents are involved in divorce, guardianship, custody, and/or visitation disputes, including a clothing pantry.","{""open"":{""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.casaoffultoncounty.com,,,574-223-2183,
1592,1592,1593,1706,Nicolet Counseling,,"Agency that provides individual, couples, or family counseling, for all ages. Also offers reduced fees for income-eligible persons and has a Spanish speaking therapist.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.nicoletcounseling.com,,,260-918-6323,
1593,1593,1594,1707,North Salem Christian Church,,"A church offering worship services and charitable outreach programs, including a food pantry. Limited service area.","{""open"":{""Thursday"":[[[9,0],[13,0]]],""Friday"":[[[9,0],[13,0]]],""Monday"":[[[9,0],[13,0]]],""Tuesday"":[[[9,0],[13,0]]],""Wednesday"":[[[9,0],[13,0]]]},""closed"":[]}",Mon-Fri 9am-1pm,www.northsalemchristianchurch.com,,,765-676-6969,
1594,1594,1595,1708,First Christian Church,,"A church offering worship services and charitable outreach programs, including a clothing bank for foster children.",,Vary,www.fccowensville.com,,,812-724-4181,
1595,1595,1596,1709,Saint Vincent De Paul Society of Muncie,,A faith-based organization offering charitable outreach including financial assistance and a home-delivered food pantry.,,Vary,www.vincentdepaulmuncie.weebly.com,www.facebook.com/svdpmuncie,,765-254-9513,
